Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Customer_Segment,Customer_Since
C00001,Customer 00001,Female,43,41-50,Lucknow,Uttar Pradesh,North,Small Business,2024-04-21
C00002,Customer 00002,Male,27,21-30,Ahmedabad,Gujarat,West,Consumer,2024-04-04
C00003,Customer 00003,Male,36,31-40,Patna,Bihar,East,Consumer,2023-01-25
C00004,Customer 00004,Male,48,41-50,Ahmedabad,Gujarat,West,Consumer,2023-07-25
C00005,Customer 00005,Male,25,21-30,Ahmedabad,Gujarat,West,Small Business,2025-02-01
C00006,Customer 00006,Male,55,51-60,Lucknow,Uttar Pradesh,North,Consumer,2022-07-11
C00007,Customer 00007,Male,47,41-50,Kochi,Kerala,South,Small Business,2024-09-12
C00008,Customer 00008,Female,24,21-30,Hyderabad,Telangana,South,Consumer,2024-02-16
C00009,Customer 00009,Female,37,31-40,Delhi,Delhi,North,Small Business,2023-08-08
C00010,Customer 00010,Female,30,21-30,Pune,Maharashtra,West,Consumer,2023-08-31
C00011,Customer 00011,Male,58,51-60,Hyderabad,Telangana,South,Corporate,2025-01-15
C00012,Customer 00012,Female,24,21-30,Jaipur,Rajasthan,North,Consumer,2025-04-11
C00013,Customer 00013,Male,24,21-30,Surat,Gujarat,West,Corporate,2022-06-14
C00014,Customer 00014,Male,59,51-60,Chennai,Tamil Nadu,South,Consumer,2023-04-27
C00015,Customer 00015,Male,57,51-60,Mumbai,Maharashtra,West,Consumer,2025-03-31
C00016,Customer 00016,Male,47,41-50,Jaipur,Rajasthan,North,Corporate,2025-04-10
C00017,Customer 00017,Female,34,31-40,Patna,Bihar,East,Corporate,2023-10-06
C00018,Customer 00018,Female,46,41-50,Kochi,Kerala,South,Consumer,2023-09-07
C00019,Customer 00019,Female,25,21-30,Ahmedabad,Gujarat,West,Consumer,2024-07-27
C00020,Customer 00020,Male,55,51-60,Lucknow,Uttar Pradesh,North,Consumer,2024-11-02
C00021,Customer 00021,Male,43,41-50,Kolkata,West Bengal,East,Consumer,2023-05-16
C00022,Customer 00022,Female,31,31-40,Ranchi,Jharkhand,East,Small Business,2025-01-17
C00023,Customer 00023,Male,56,51-60,Bhubaneswar,Odisha,East,Small Business,2022-08-01
C00024,Customer 00024,Female,28,21-30,Bengaluru,Karnataka,South,Consumer,2025-02-07
C00025,Customer 00025,Female,39,31-40,Bengaluru,Karnataka,South,Corporate,2023-03-08
C00026,Customer 00026,Male,37,31-40,Patna,Bihar,East,Corporate,2024-09-27
C00027,Customer 00027,Male,26,21-30,Kolkata,West Bengal,East,Corporate,2024-05-17
C00028,Customer 00028,Male,21,21-30,Kolkata,West Bengal,East,Small Business,2022-09-25
C00029,Customer 00029,Male,49,41-50,Kolkata,West Bengal,East,Corporate,2024-05-25
C00030,Customer 00030,Male,25,21-30,Delhi,Delhi,North,Corporate,2022-11-02
C00031,Customer 00031,Female,58,51-60,Jaipur,Rajasthan,North,Corporate,2022-10-31
C00032,Customer 00032,Male,23,21-30,Pune,Maharashtra,West,Small Business,2024-01-17
C00033,Customer 00033,Female,34,31-40,Jaipur,Rajasthan,North,Corporate,2023-05-27
C00034,Customer 00034,Female,56,51-60,Lucknow,Uttar Pradesh,North,Small Business,2025-06-25
C00035,Customer 00035,Male,31,31-40,Bengaluru,Karnataka,South,Consumer,2024-04-24
C00036,Customer 00036,Male,42,41-50,Delhi,Delhi,North,Small Business,2023-05-24
C00037,Customer 00037,Male,27,21-30,Kolkata,West Bengal,East,Small Business,2022-03-21
C00038,Customer 00038,Male,33,31-40,Surat,Gujarat,West,Small Business,2023-12-18
C00039,Customer 00039,Male,35,31-40,Bhubaneswar,Odisha,East,Consumer,2023-01-31
C00040,Customer 00040,Female,38,31-40,Mumbai,Maharashtra,West,Consumer,2023-07-26
C00041,Customer 00041,Female,55,51-60,Ranchi,Jharkhand,East,Small Business,2022-02-26
C00042,Customer 00042,Female,32,31-40,Lucknow,Uttar Pradesh,North,Corporate,2023-06-28
C00043,Customer 00043,Male,59,51-60,Jaipur,Rajasthan,North,Small Business,2023-12-09
C00044,Customer 00044,Female,59,51-60,Patna,Bihar,East,Corporate,2022-08-25
C00045,Customer 00045,Male,37,31-40,Mumbai,Maharashtra,West,Consumer,2024-06-12
C00046,Customer 00046,Male,44,41-50,Delhi,Delhi,North,Small Business,2022-05-24
C00047,Customer 00047,Female,28,21-30,Patna,Bihar,East,Corporate,2023-09-08
C00048,Customer 00048,Female,41,41-50,Bhubaneswar,Odisha,East,Small Business,2023-08-29
C00049,Customer 00049,Male,47,41-50,Bengaluru,Karnataka,South,Corporate,2024-02-16
C00050,Customer 00050,Female,46,41-50,Chennai,Tamil Nadu,South,Corporate,2022-01-01
C00051,Customer 00051,Female,34,31-40,Bhubaneswar,Odisha,East,Small Business,2025-04-02
C00052,Customer 00052,Female,49,41-50,Patna,Bihar,East,Small Business,2023-03-14
C00053,Customer 00053,Male,26,21-30,Surat,Gujarat,West,Small Business,2024-11-21
C00054,Customer 00054,Male,36,31-40,Patna,Bihar,East,Corporate,2023-09-28
C00055,Customer 00055,Male,30,21-30,Kochi,Kerala,South,Consumer,2022-04-05
C00056,Customer 00056,Female,60,51-60,Kochi,Kerala,South,Consumer,2024-07-21
C00057,Customer 00057,Male,45,41-50,Pune,Maharashtra,West,Small Business,2024-03-29
C00058,Customer 00058,Male,21,21-30,Kochi,Kerala,South,Consumer,2024-05-20
C00059,Customer 00059,Male,54,51-60,Kochi,Kerala,South,Small Business,2022-04-13
C00060,Customer 00060,Male,50,41-50,Kochi,Kerala,South,Consumer,2024-08-09
C00061,Customer 00061,Female,60,51-60,Patna,Bihar,East,Corporate,2024-10-30
C00062,Customer 00062,Female,31,31-40,Pune,Maharashtra,West,Corporate,2024-08-30
C00063,Customer 00063,Female,36,31-40,Ahmedabad,Gujarat,West,Corporate,2023-07-22
C00064,Customer 00064,Male,38,31-40,Surat,Gujarat,West,Small Business,2022-06-08
C00065,Customer 00065,Male,38,31-40,Bhubaneswar,Odisha,East,Small Business,2023-10-17
C00066,Customer 00066,Male,30,21-30,Chandigarh,Chandigarh,North,Consumer,2024-02-24
C00067,Customer 00067,Male,25,21-30,Bengaluru,Karnataka,South,Small Business,2024-04-14
C00068,Customer 00068,Female,47,41-50,Patna,Bihar,East,Consumer,2023-02-28
C00069,Customer 00069,Female,58,51-60,Pune,Maharashtra,West,Corporate,2022-02-10
C00070,Customer 00070,Female,21,21-30,Mumbai,Maharashtra,West,Small Business,2023-09-04
C00071,Customer 00071,Female,55,51-60,Mumbai,Maharashtra,West,Corporate,2025-01-23
