Salesperson_ID,Salesperson_Name,Region,Manager,Joining_Date,Monthly_Target
SP001,Salesperson 001,East,Manager 01,2023-05-16,500000
SP002,Salesperson 002,North,Manager 01,2025-02-28,600000
SP003,Salesperson 003,South,Manager 01,2022-02-22,1000000
SP004,Salesperson 004,East,Manager 01,2024-06-04,900000
SP005,Salesperson 005,South,Manager 01,2023-03-21,600000
SP006,Salesperson 006,South,Manager 01,2024-09-08,600000
SP007,Salesperson 007,South,Manager 01,2023-03-07,1000000
SP008,Salesperson 008,West,Manager 01,2023-08-16,750000
SP009,Salesperson 009,North,Manager 02,2023-01-17,1000000
SP010,Salesperson 010,South,Manager 02,2023-10-22,600000
SP011,Salesperson 011,South,Manager 02,2024-03-19,900000
SP012,Salesperson 012,West,Manager 02,2023-01-18,750000
SP013,Salesperson 013,South,Manager 02,2024-06-18,900000
SP014,Salesperson 014,South,Manager 02,2022-11-23,600000
SP015,Salesperson 015,East,Manager 02,2022-10-16,500000
SP016,Salesperson 016,South,Manager 02,2023-05-04,1200000
SP017,Salesperson 017,South,Manager 03,2022-02-14,1000000
SP018,Salesperson 018,North,Manager 03,2023-05-30,1200000
SP019,Salesperson 019,North,Manager 03,2022-05-14,900000
SP020,Salesperson 020,South,Manager 03,2023-04-12,600000
SP021,Salesperson 021,East,Manager 03,2023-08-24,600000
SP022,Salesperson 022,South,Manager 03,2023-09-01,900000
SP023,Salesperson 023,North,Manager 03,2024-12-11,600000
SP024,Salesperson 024,North,Manager 03,2024-09-16,750000
SP025,Salesperson 025,East,Manager 04,2022-06-22,750000
SP026,Salesperson 026,East,Manager 04,2023-12-02,600000
SP027,Salesperson 027,West,Manager 04,2022-04-28,900000
SP028,Salesperson 028,East,Manager 04,2024-06-12,1000000
SP029,Salesperson 029,North,Manager 04,2023-02-18,1000000
SP030,Salesperson 030,South,Manager 04,2022-09-12,500000
SP031,Salesperson 031,North,Manager 04,2024-03-16,750000
SP032,Salesperson 032,South,Manager 04,2023-03-14,1200000
SP033,Salesperson 033,South,Manager 05,2023-01-13,900000
SP034,Salesperson 034,South,Manager 05,2022-09-20,900000
SP035,Salesperson 035,West,Manager 05,2024-08-15,900000
SP036,Salesperson 036,South,Manager 05,2023-02-22,500000
SP037,Salesperson 037,West,Manager 05,2024-11-02,1200000
SP038,Salesperson 038,North,Manager 05,2024-03-26,900000
SP039,Salesperson 039,East,Manager 05,2024-09-06,500000
SP040,Salesperson 040,West,Manager 05,2022-01-08,600000
SP041,Salesperson 041,East,Manager 06,2022-04-18,600000
SP042,Salesperson 042,West,Manager 06,2022-03-12,750000
SP043,Salesperson 043,East,Manager 06,2022-12-14,1000000
SP044,Salesperson 044,East,Manager 06,2022-10-05,1200000
SP045,Salesperson 045,East,Manager 06,2022-06-23,1200000
SP046,Salesperson 046,North,Manager 06,2024-08-26,1200000
SP047,Salesperson 047,East,Manager 06,2022-04-20,600000
SP048,Salesperson 048,West,Manager 06,2023-07-08,500000
SP049,Salesperson 049,West,Manager 07,2024-08-27,750000
SP050,Salesperson 050,South,Manager 07,2024-05-26,900000
SP051,Salesperson 051,West,Manager 07,2022-10-10,750000
SP052,Salesperson 052,North,Manager 07,2024-05-30,600000
SP053,Salesperson 053,North,Manager 07,2022-03-23,600000
SP054,Salesperson 054,West,Manager 07,2023-01-26,1000000
SP055,Salesperson 055,East,Manager 07,2024-04-06,750000
SP056,Salesperson 056,West,Manager 07,2022-05-26,750000
SP057,Salesperson 057,West,Manager 08,2023-07-02,750000
SP058,Salesperson 058,West,Manager 08,2025-04-15,600000
SP059,Salesperson 059,North,Manager 08,2024-12-06,600000
SP060,Salesperson 060,West,Manager 08,2025-03-22,1000000
SP061,Salesperson 061,East,Manager 08,2022-06-08,750000
SP062,Salesperson 062,West,Manager 08,2022-03-12,1000000
SP063,Salesperson 063,East,Manager 08,2023-10-05,500000
SP064,Salesperson 064,East,Manager 08,2023-03-02,600000
SP065,Salesperson 065,West,Manager 09,2024-06-12,750000
SP066,Salesperson 066,South,Manager 09,2022-09-19,600000
SP067,Salesperson 067,South,Manager 09,2023-06-11,900000
SP068,Salesperson 068,North,Manager 09,2022-09-25,500000
SP069,Salesperson 069,South,Manager 09,2025-01-27,1000000
SP070,Salesperson 070,North,Manager 09,2022-08-02,750000
SP071,Salesperson 071,East,Manager 09,2025-02-25,750000
SP072,Salesperson 072,South,Manager 09,2023-05-31,500000
SP073,Salesperson 073,North,Manager 10,2022-05-30,600000
SP074,Salesperson 074,West,Manager 10,2024-06-13,1200000
SP075,Salesperson 075,South,Manager 10,2022-10-09,600000
SP076,Salesperson 076,East,Manager 10,2024-10-16,750000
SP077,Salesperson 077,South,Manager 10,2022-11-27,750000
SP078,Salesperson 078,West,Manager 10,2024-08-02,1200000
SP079,Salesperson 079,West,Manager 10,2022-05-12,1000000
SP080,Salesperson 080,South,Manager 10,2022-09-21,600000
